id,nombre,familia_id,familia,microfamilia_id,microfamilia,nivel,tipo_perfil,zona_referencia,modalidad_referencia,competencias_clave,certificaciones_sugeridas,educacion_minima,experiencia_sugerida,palabras_clave,perfiles_similares
PER-CR-0533,Analista senior de pintura,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0533,pintura · Analista senior,Analista senior,Profesional,GAM,Mixto,pintura; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista senior de pintura pintura Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0534,Especialista en soldadura,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0534,soldadura · Especialista,Especialista,Profesional / técnico avanzado,Alajuela,Presencial,soldadura; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Especialista en soldadura soldadura Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0535,Coordinador/a de trabajo en alturas,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0535,trabajo en alturas · Coordinador,Coordinador,Coordinación,Heredia,Virtual,trabajo en alturas; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Coordinador/a de trabajo en alturas trabajo en alturas Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0536,Supervisor/a de operativa,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0536,operativa · Supervisor,Supervisor,Supervisión,Puntarenas,Híbrido,operativa; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Supervisor/a de operativa operativa Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0537,Jefatura de Construcción operativa enfoque 12,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0537,Construcción operativa enfoque 12 · Jefatura,Jefatura,Jefatura,Zona Norte,Campo,Construcción operativa enfoque 12; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Jefatura de Construcción operativa enfoque 12 Construcción operativa enfoque 12 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0538,Consultor/a de Construcción operativa enfoque 13,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0538,Construcción operativa enfoque 13 · Consultor,Consultor,Consultoría,GAM,Mixto,Construcción operativa enfoque 13; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Consultor/a de Construcción operativa enfoque 13 Construcción operativa enfoque 13 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0539,Gestor/a de Construcción operativa enfoque 14,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0539,Construcción operativa enfoque 14 · Gestor,Gestor,Gestión,Alajuela,Presencial,Construcción operativa enfoque 14; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gestor/a de Construcción operativa enfoque 14 Construcción operativa enfoque 14 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0540,Instructor/a de Construcción operativa enfoque 15,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0540,Construcción operativa enfoque 15 · Instructor / formador,Instructor / formador,Formación,Heredia,Virtual,Construcción operativa enfoque 15; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Instructor/a de Construcción operativa enfoque 15 Construcción operativa enfoque 15 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0541,Inspector/a de calidad en Construcción operativa enfoque 16,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0541,Construcción operativa enfoque 16 · Control de calidad,Control de calidad,Calidad,Puntarenas,Híbrido,Construcción operativa enfoque 16; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Inspector/a de calidad en Construcción operativa enfoque 16 Construcción operativa enfoque 16 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0542,Analista de datos y reportes de Construcción operativa enfoque 17,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0542,Construcción operativa enfoque 17 · Datos y reportes,Datos y reportes,Datos / analítica,Zona Norte,Campo,Construcción operativa enfoque 17; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Analista de datos y reportes de Construcción operativa enfoque 17 Construcción operativa enfoque 17 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0543,Especialista digital en Construcción operativa enfoque 18,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0543,Construcción operativa enfoque 18 · Herramientas digitales,Herramientas digitales,Digital,GAM,Mixto,Construcción operativa enfoque 18; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Especialista digital en Construcción operativa enfoque 18 Construcción operativa enfoque 18 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0544,Coordinador/a de proyectos de Construcción operativa enfoque 19,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0544,Construcción operativa enfoque 19 · Proyectos,Proyectos,Proyectos,Alajuela,Presencial,Construcción operativa enfoque 19; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Coordinador/a de proyectos de Construcción operativa enfoque 19 Construcción operativa enfoque 19 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0545,Técnico/a de campo en Construcción operativa enfoque 20,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0545,Construcción operativa enfoque 20 · Campo / operación local,Campo / operación local,Campo,Heredia,Virtual,Construcción operativa enfoque 20; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Técnico/a de campo en Construcción operativa enfoque 20 Construcción operativa enfoque 20 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0546,Asesor/a de servicio en Construcción operativa enfoque 21,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0546,Construcción operativa enfoque 21 · Servicio al usuario,Servicio al usuario,Servicio,Puntarenas,Híbrido,Construcción operativa enfoque 21; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Asesor/a de servicio en Construcción operativa enfoque 21 Construcción operativa enfoque 21 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0547,Ejecutivo/a comercial de Construcción operativa enfoque 22,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0547,Construcción operativa enfoque 22 · Gestión comercial,Gestión comercial,Comercial,Zona Norte,Campo,Construcción operativa enfoque 22; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Ejecutivo/a comercial de Construcción operativa enfoque 22 Construcción operativa enfoque 22 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0548,Analista de cumplimiento en Construcción operativa enfoque 23,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0548,Construcción operativa enfoque 23 · Cumplimiento / normativa,Cumplimiento / normativa,Cumplimiento,GAM,Mixto,Construcción operativa enfoque 23; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Analista de cumplimiento en Construcción operativa enfoque 23 Construcción operativa enfoque 23 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0549,Gestor/a emprendedor/a en Construcción operativa enfoque 24,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0549,Construcción operativa enfoque 24 · Emprendimiento,Emprendimiento,Emprendimiento,Alajuela,Presencial,Construcción operativa enfoque 24; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gestor/a emprendedor/a en Construcción operativa enfoque 24 Construcción operativa enfoque 24 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0550,Gerente de Construcción operativa enfoque 25,construccion_operativa,"Construcción operativa, obra gris y acabados",MF-CR-0550,Construcción operativa enfoque 25 · Gerencial / estratégico,Gerencial / estratégico,Gerencial,Heredia,Virtual,Construcción operativa enfoque 25; construccion; construcción; obra gris; acabados; albañil; albanil; carpinteria,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gerente de Construcción operativa enfoque 25 Construcción operativa enfoque 25 Construcción operativa, obra gris y acabados construccion_operativa construccion construcción obra gris acabados albañil albanil carpinteria carpintería pintura soldadura trabajo en alturas",
PER-CR-0551,Auxiliar de turismo,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0551,turismo · Entrada / auxiliar,Entrada / auxiliar,Operativo,San José,Híbrido,turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera; guia turistico,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,0-1 año,"Auxiliar de turismo turismo Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0552,Asistente de hotel,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0552,hotel · Asistente,Asistente,Técnico inicial,Cartago,Campo,turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera; guia turistico,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,0-1 año,"Asistente de hotel hotel Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0553,Técnico/a en hoteleria,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0553,hoteleria · Técnico,Técnico,Técnico,Limón,Mixto,turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera; guia turistico,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Técnico/a en hoteleria hoteleria Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0554,Técnico/a certificado/a en hotelería,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0554,hotelería · Técnico certificado,Técnico certificado,Técnico certificado,Guanacaste,Presencial,turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera; guia turistico,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Técnico/a certificado/a en hotelería hotelería Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0555,Operador/a especializado/a en hospedaje,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0555,hospedaje · Operativo especializado,Operativo especializado,Operativo especializado,Zona Sur,Virtual,turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera; guia turistico,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Operador/a especializado/a en hospedaje hospedaje Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0556,Analista junior de recepcion hotelera,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0556,recepcion hotelera · Analista junior,Analista junior,Técnico avanzado,San José,Híbrido,turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera; guia turistico,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista junior de recepcion hotelera recepcion hotelera Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0557,Analista de recepción hotelera,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0557,recepción hotelera · Analista,Analista,Técnico avanzado,Cartago,Campo,turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera; guia turistico,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista de recepción hotelera recepción hotelera Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0558,Analista senior de guia turistico,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0558,guia turistico · Analista senior,Analista senior,Profesional,Limón,Mixto,turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera; guia turistico,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista senior de guia turistico guia turistico Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0559,Especialista en guía turístico,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0559,guía turístico · Especialista,Especialista,Profesional / técnico avanzado,Guanacaste,Presencial,guía turístico; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Especialista en guía turístico guía turístico Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0560,Coordinador/a de hospitalidad,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0560,hospitalidad · Coordinador,Coordinador,Coordinación,Zona Sur,Virtual,hospitalidad; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Coordinador/a de hospitalidad hospitalidad Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0561,Supervisor/a de reservas,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0561,reservas · Supervisor,Supervisor,Supervisión,San José,Híbrido,reservas; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Supervisor/a de reservas reservas Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0562,Jefatura de Turismo enfoque 12,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0562,Turismo enfoque 12 · Jefatura,Jefatura,Jefatura,Cartago,Campo,Turismo enfoque 12; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Jefatura de Turismo enfoque 12 Turismo enfoque 12 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0563,Consultor/a de Turismo enfoque 13,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0563,Turismo enfoque 13 · Consultor,Consultor,Consultoría,Limón,Mixto,Turismo enfoque 13; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Consultor/a de Turismo enfoque 13 Turismo enfoque 13 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0564,Gestor/a de Turismo enfoque 14,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0564,Turismo enfoque 14 · Gestor,Gestor,Gestión,Guanacaste,Presencial,Turismo enfoque 14; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gestor/a de Turismo enfoque 14 Turismo enfoque 14 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0565,Instructor/a de Turismo enfoque 15,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0565,Turismo enfoque 15 · Instructor / formador,Instructor / formador,Formación,Zona Sur,Virtual,Turismo enfoque 15; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Instructor/a de Turismo enfoque 15 Turismo enfoque 15 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0566,Inspector/a de calidad en Turismo enfoque 16,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0566,Turismo enfoque 16 · Control de calidad,Control de calidad,Calidad,San José,Híbrido,Turismo enfoque 16; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Inspector/a de calidad en Turismo enfoque 16 Turismo enfoque 16 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0567,Analista de datos y reportes de Turismo enfoque 17,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0567,Turismo enfoque 17 · Datos y reportes,Datos y reportes,Datos / analítica,Cartago,Campo,Turismo enfoque 17; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Analista de datos y reportes de Turismo enfoque 17 Turismo enfoque 17 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0568,Especialista digital en Turismo enfoque 18,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0568,Turismo enfoque 18 · Herramientas digitales,Herramientas digitales,Digital,Limón,Mixto,Turismo enfoque 18; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Especialista digital en Turismo enfoque 18 Turismo enfoque 18 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0569,Coordinador/a de proyectos de Turismo enfoque 19,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0569,Turismo enfoque 19 · Proyectos,Proyectos,Proyectos,Guanacaste,Presencial,Turismo enfoque 19; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Coordinador/a de proyectos de Turismo enfoque 19 Turismo enfoque 19 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0570,Técnico/a de campo en Turismo enfoque 20,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0570,Turismo enfoque 20 · Campo / operación local,Campo / operación local,Campo,Zona Sur,Virtual,Turismo enfoque 20; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Técnico/a de campo en Turismo enfoque 20 Turismo enfoque 20 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0571,Asesor/a de servicio en Turismo enfoque 21,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0571,Turismo enfoque 21 · Servicio al usuario,Servicio al usuario,Servicio,San José,Híbrido,Turismo enfoque 21; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Asesor/a de servicio en Turismo enfoque 21 Turismo enfoque 21 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0572,Ejecutivo/a comercial de Turismo enfoque 22,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0572,Turismo enfoque 22 · Gestión comercial,Gestión comercial,Comercial,Cartago,Campo,Turismo enfoque 22; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Ejecutivo/a comercial de Turismo enfoque 22 Turismo enfoque 22 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0573,Analista de cumplimiento en Turismo enfoque 23,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0573,Turismo enfoque 23 · Cumplimiento / normativa,Cumplimiento / normativa,Cumplimiento,Limón,Mixto,Turismo enfoque 23; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Analista de cumplimiento en Turismo enfoque 23 Turismo enfoque 23 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
PER-CR-0574,Gestor/a emprendedor/a en Turismo enfoque 24,turismo,"Turismo, hotelería y hospitalidad",MF-CR-0574,Turismo enfoque 24 · Emprendimiento,Emprendimiento,Emprendimiento,Guanacaste,Presencial,Turismo enfoque 24; turismo; hotel; hoteleria; hotelería; hospedaje; recepcion hotelera; recepción hotelera,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gestor/a emprendedor/a en Turismo enfoque 24 Turismo enfoque 24 Turismo, hotelería y hospitalidad turismo turismo hotel hoteleria hotelería hospedaje recepcion hotelera recepción hotelera guia turistico guía turístico hospitalidad reservas",
